"","Primary Type","Location Description","Arrest","Domestic","District","Hour","DayofWeek"
"2558","Burglary","Residential","No","No","5","11","Saturday"
"2559","Battery","Residential","No","Yes","17","18","Monday"
"2560","Auto Theft","Residential","No","No","8","21","Saturday"
"2561","Robbery","Public Transportation","No","No","2","12","Tuesday"
"2562","Battery","Residential","No","Yes","17","23","Thursday"
"2563","Battery","Street","No","Yes","14","3","Wednesday"
"2564","Battery","Medical/Hospital","Yes","Yes","12","17","Thursday"
"2565","Battery","Residential","No","Yes","8","19","Friday"
"2566","Theft","Public Transportation","No","No","18","15","Thursday"
"2567","Other","Residential","No","No","3","22","Saturday"
"2568","Other","Other","Yes","Yes","1","10","Monday"
"2569","Theft","Residential","No","No","24","17","Monday"
"2570","Theft","Street","No","No","6","19","Monday"
"2571","Theft","Residential","No","No","11","21","Thursday"
"2572","Battery","Airport","No","No","16","23","Tuesday"
"2573","Fraud","Residential","No","No","12","16","Tuesday"
"2574","Damage","Street","No","No","16","3","Saturday"
"2575","Theft","Street","No","No","1","22","Thursday"
"2576","Drugs/Alcohol","Street","Yes","No","11","10","Friday"
"2577","Theft","Business/Retail/Resturant","No","No","18","15","Monday"
"2578","Battery","Business/Retail/Resturant","No","No","9","15","Saturday"
"2579","Burglary","Residential","No","No","6","20","Sunday"
"2580","Assault","Street","No","No","22","18","Monday"
"2581","Robbery","Street","No","No","18","12","Wednesday"
"2582","Theft","Residential","No","No","12","12","Thursday"
"2583","Theft","Vehicle/Boat","No","No","12","7","Saturday"
"2584","Other","Residential","Yes","Yes","2","8","Friday"
"2585","Trespass","Residential","Yes","No","2","12","Friday"
"2586","Other","Residential","No","Yes","2","19","Monday"
"2587","Drugs/Alcohol","Business/Retail/Resturant","Yes","No","7","21","Monday"
"2588","Battery","Residential","No","Yes","2","20","Monday"
"2589","Battery","Business/Retail/Resturant","No","No","6","12","Thursday"
"2590","Theft","Business/Retail/Resturant","No","No","19","16","Tuesday"
"2591","Assault","Street","Yes","No","25","14","Friday"
"2592","Damage","Street","No","No","10","2","Sunday"
"2593","Damage","Residential","Yes","No","6","13","Friday"
"2594","Battery","Residential","No","Yes","4","21","Sunday"
"2595","Burglary","Residential","No","No","3","21","Wednesday"
"2596","Theft","Business/Retail/Resturant","No","No","18","14","Wednesday"
"2597","Drugs/Alcohol","Street","Yes","No","10","20","Wednesday"
"2598","Robbery","Business/Retail/Resturant","Yes","No","4","15","Friday"
"2599","Assault","Street","No","No","7","0","Friday"
"2600","Robbery","Street","No","No","17","14","Wednesday"
"2601","Theft","Business/Retail/Resturant","Yes","No","20","13","Friday"
"2602","Assault","Street","Yes","No","1","17","Thursday"
"2603","Theft","Business/Retail/Resturant","No","No","25","17","Tuesday"
"2604","Battery","Street","No","No","15","16","Wednesday"
"2605","Battery","Street","No","Yes","25","13","Saturday"
"2606","Theft","Street","No","No","1","12","Saturday"
"2607","Fraud","Medical/Hospital","No","No","16","9","Saturday"
"2608","Auto Theft","Street","No","No","24","21","Saturday"
"2609","Disturbing the Peace","Residential","Yes","No","6","16","Monday"
"2610","Other","Residential","No","Yes","7","11","Monday"
"2611","Trespass","Business/Retail/Resturant","No","No","14","12","Thursday"
"2612","Disturbing the Peace","Residential","No","No","4","23","Saturday"
"2613","Theft","Business/Retail/Resturant","No","No","5","11","Sunday"
"2614","Fraud","Business/Retail/Resturant","No","No","18","18","Saturday"
"2615","Drugs/Alcohol","Street","Yes","No","11","19","Friday"
"2616","Damage","Street","No","No","12","21","Wednesday"
"2617","Theft","Public Transportation","No","No","8","7","Friday"
"2618","Robbery","Business/Retail/Resturant","Yes","No","17","19","Monday"
"2619","Fraud","Street","No","No","9","15","Saturday"
"2620","Drugs/Alcohol","Street","Yes","No","11","10","Saturday"
"2621","Battery","Residential","No","Yes","7","4","Sunday"
"2622","Battery","Street","Yes","Yes","22","3","Thursday"
"2623","Drugs/Alcohol","Street","Yes","No","11","19","Thursday"
"2624","Robbery","Government Building/Land","No","No","6","19","Saturday"
"2625","Damage","Business/Retail/Resturant","No","No","9","6","Monday"
"2626","Theft","Airport","Yes","No","16","6","Friday"
"2627","Drugs/Alcohol","Street","Yes","No","10","10","Sunday"
"2628","Battery","School/College","No","No","15","14","Friday"
"2629","Battery","Street","No","Yes","3","23","Thursday"
"2630","Trespass","Residential","Yes","No","7","1","Monday"
"2631","Robbery","Street","No","No","18","12","Saturday"
"2632","Fraud","Business/Retail/Resturant","No","No","19","16","Wednesday"
"2633","Theft","Business/Retail/Resturant","No","No","25","18","Tuesday"
"2634","Damage","Street","No","No","19","11","Wednesday"
"2635","Theft","Street","No","No","12","7","Wednesday"
"2636","Burglary","Residential","No","No","19","11","Sunday"
"2637","Battery","Street","No","No","6","10","Sunday"
"2638","Robbery","Street","No","No","6","14","Sunday"
"2639","Theft","Business/Retail/Resturant","No","No","14","16","Monday"
"2640","Damage","Business/Retail/Resturant","No","No","8","1","Sunday"
"2641","Theft","Government Building/Land","No","No","18","20","Friday"
"2642","Theft","Residential","No","No","2","19","Monday"
"2643","Theft","Business/Retail/Resturant","No","No","25","15","Tuesday"
"2644","Battery","Residential","Yes","Yes","12","22","Thursday"
"2645","Damage","Street","No","No","15","2","Saturday"
"2646","Auto Theft","Street","No","No","18","17","Saturday"
"2647","Theft","Business/Retail/Resturant","No","No","18","18","Tuesday"
"2648","Theft","Business/Retail/Resturant","No","No","18","18","Monday"
"2649","Robbery","Street","No","No","25","21","Saturday"
"2650","Weapons","Street","Yes","No","3","19","Thursday"
"2651","Assault","Residential","Yes","No","2","5","Sunday"
"2652","Theft","Street","No","No","16","22","Thursday"
"2653","Other","Residential","No","No","5","20","Wednesday"
"2654","Auto Theft","Street","No","No","25","12","Sunday"
"2655","Auto Theft","Residential","No","No","7","0","Tuesday"
"2656","Drugs/Alcohol","Street","Yes","No","11","19","Monday"
"2657","Weapons","Business/Retail/Resturant","No","No","12","23","Monday"
"2658","Battery","Residential","No","Yes","15","13","Saturday"
"2659","Battery","Residential","No","Yes","19","4","Saturday"
"2660","Theft","Residential","No","No","18","14","Monday"
"2661","Battery","Street","No","No","4","19","Saturday"
"2662","Theft","Residential","No","No","6","15","Tuesday"
"2663","Burglary","Residential","No","No","14","12","Friday"
"2664","Theft","Residential","No","Yes","11","17","Monday"
"2665","Assault","Street","No","Yes","4","10","Saturday"
"2666","Assault","Residential","No","No","16","12","Thursday"
"2667","Other","Residential","No","No","2","20","Thursday"
"2668","Damage","Street","No","No","25","10","Wednesday"
"2669","Auto Theft","Street","No","No","25","0","Tuesday"
"2670","Fraud","Other","No","No","18","11","Friday"
"2671","Drugs/Alcohol","Residential","Yes","No","15","18","Tuesday"
"2672","Theft","Vehicle/Boat","No","No","14","17","Saturday"
"2673","Battery","Residential","Yes","Yes","25","7","Monday"
"2674","Fraud","Residential","No","No","5","18","Tuesday"
"2675","Weapons","Street","Yes","No","10","22","Friday"
"2676","Battery","Street","No","Yes","6","11","Saturday"
"2677","Theft","Business/Retail/Resturant","No","No","1","14","Friday"
"2678","Theft","Medical/Hospital","No","No","18","14","Friday"
"2679","Sexual","Business/Retail/Resturant","No","No","18","9","Sunday"
"2680","Drugs/Alcohol","Residential","Yes","No","16","14","Saturday"
"2681","Burglary","Residential","No","No","15","18","Wednesday"
"2682","Burglary","Residential","No","No","16","20","Tuesday"
"2683","Theft","Business/Retail/Resturant","Yes","No","10","12","Monday"
"2684","Damage","Residential","No","No","4","17","Tuesday"
"2685","Theft","Airport","No","No","8","8","Monday"
"2686","Auto Theft","Street","No","No","11","8","Tuesday"
"2687","Auto Theft","Street","No","No","10","15","Friday"
"2688","Battery","Residential","Yes","Yes","9","0","Thursday"
"2689","Disturbing the Peace","Government Building/Land","Yes","No","19","15","Thursday"
"2690","Auto Theft","Street","No","No","5","5","Monday"
"2691","Battery","Street","No","No","1","13","Friday"
"2692","Auto Theft","Street","No","No","5","17","Tuesday"
"2693","Other","Residential","Yes","Yes","16","0","Friday"
"2694","Battery","School/College","No","No","5","12","Monday"
"2695","Battery","Government Building/Land","No","Yes","12","0","Tuesday"
"2696","Battery","Residential","Yes","Yes","20","8","Thursday"
"2697","Auto Theft","Street","No","No","11","3","Sunday"
"2698","Battery","Residential","No","Yes","7","18","Saturday"
"2699","Burglary","Residential","No","No","10","7","Tuesday"
"2700","Robbery","Street","No","No","6","18","Saturday"
"2701","Theft","Street","No","No","15","10","Thursday"
"2702","Theft","Public Transportation","No","No","12","8","Monday"
"2703","Theft","Business/Retail/Resturant","Yes","No","2","13","Thursday"
"2704","Drugs/Alcohol","Street","Yes","No","15","16","Monday"
"2705","Burglary","Residential","No","No","12","3","Sunday"
"2706","Battery","Street","No","No","7","21","Friday"
"2707","Damage","Street","No","No","14","6","Friday"
"2708","Theft","Public Transportation","No","No","2","17","Tuesday"
"2709","Other","Residential","Yes","No","18","10","Friday"
"2710","Weapons","Street","No","No","7","3","Monday"
"2711","Theft","Street","No","No","2","5","Friday"
"2712","Auto Theft","Street","No","No","24","19","Wednesday"
"2713","Battery","Residential","No","Yes","8","0","Sunday"
"2714","Battery","Residential","No","Yes","6","12","Wednesday"
"2715","Fraud","Business/Retail/Resturant","No","No","18","21","Saturday"
"2716","Theft","Residential","No","No","18","6","Friday"
"2717","Battery","Residential","No","Yes","22","18","Friday"
"2718","Damage","Street","No","No","14","1","Wednesday"
"2719","Disturbing the Peace","Residential","No","No","16","17","Friday"
"2720","Other","Residential","No","Yes","4","18","Thursday"
"2721","Other","Residential","No","No","15","16","Friday"
"2722","Theft","Other","No","No","4","23","Tuesday"
"2723","Trespass","Residential","No","No","7","12","Tuesday"
"2724","Fraud","Business/Retail/Resturant","No","No","18","18","Friday"
"2725","Damage","Residential","No","No","8","21","Friday"
"2726","Theft","Street","No","No","12","11","Wednesday"
"2727","Theft","Business/Retail/Resturant","No","No","1","16","Monday"
"2728","Theft","Business/Retail/Resturant","No","No","4","13","Sunday"
"2729","Theft","Vehicle/Boat","No","No","22","21","Wednesday"
"2730","Drugs/Alcohol","Street","Yes","No","12","21","Monday"
"2731","Theft","Street","No","No","12","23","Saturday"
"2732","Theft","Business/Retail/Resturant","No","No","18","20","Monday"
"2733","Battery","Residential","Yes","Yes","14","10","Sunday"
"2734","Theft","Vehicle/Boat","No","No","6","21","Thursday"
"2735","Auto Theft","Residential","No","No","16","9","Saturday"
"2736","Theft","Business/Retail/Resturant","No","No","19","18","Friday"
"2737","Theft","Business/Retail/Resturant","Yes","No","12","10","Monday"
"2738","Theft","Street","No","No","12","3","Saturday"
"2739","Battery","Residential","No","No","9","23","Thursday"
"2740","Theft","Business/Retail/Resturant","Yes","No","10","23","Saturday"
"2741","Theft","Street","No","No","18","18","Thursday"
"2742","Theft","Street","No","Yes","22","16","Tuesday"
"2743","Assault","Street","No","No","10","11","Friday"
"2744","Battery","Residential","No","No","12","8","Saturday"
"2745","Assault","Residential","No","No","5","13","Friday"
"2746","Burglary","Business/Retail/Resturant","No","No","8","23","Friday"
"2747","Fraud","Residential","No","No","16","22","Saturday"
"2748","Other","Vehicle/Boat","Yes","No","9","19","Monday"
"2749","Robbery","Street","No","No","12","19","Thursday"
"2750","Theft","Street","No","No","8","21","Monday"
"2751","Damage","Residential","No","No","2","17","Monday"
"2752","Battery","Residential","No","No","6","22","Saturday"
"2753","Theft","Business/Retail/Resturant","No","No","20","16","Thursday"
"2754","Robbery","Street","No","No","8","17","Wednesday"
"2755","Other","Residential","No","No","3","20","Sunday"
"2756","Battery","Residential","No","Yes","22","18","Saturday"
"2757","Battery","Residential","Yes","Yes","11","5","Saturday"
"2758","Battery","Street","No","Yes","4","23","Friday"
"2759","Theft","Business/Retail/Resturant","No","No","22","7","Monday"
"2760","Theft","Residential","No","No","10","14","Wednesday"
"2761","Assault","Street","No","Yes","12","6","Saturday"
"2762","Damage","Residential","No","Yes","16","8","Monday"
"2763","Theft","Street","No","No","10","2","Monday"
"2764","Battery","Public Transportation","No","No","11","16","Friday"
"2765","Battery","Street","No","No","8","23","Saturday"
"2766","Other","Government Building/Land","No","No","1","10","Wednesday"
"2767","Theft","Business/Retail/Resturant","Yes","No","18","15","Thursday"
"2768","Theft","Business/Retail/Resturant","No","No","18","17","Monday"
"2769","Battery","Residential","No","Yes","17","23","Sunday"
"2770","Damage","Vehicle/Boat","No","No","17","19","Sunday"
"2771","Battery","Street","Yes","Yes","10","5","Sunday"
"2772","Battery","Residential","No","Yes","7","23","Wednesday"
"2773","Other","Residential","No","No","4","13","Saturday"
"2774","Theft","Business/Retail/Resturant","Yes","No","14","21","Friday"
"2775","Battery","Residential","No","Yes","10","14","Wednesday"
"2776","Battery","Vehicle/Boat","No","Yes","7","22","Friday"
"2777","Weapons","Vehicle/Boat","Yes","No","6","0","Monday"
"2778","Sexual","Residential","No","No","5","5","Wednesday"
"2779","Fraud","Street","No","No","19","17","Monday"
"2780","Battery","Street","No","No","4","11","Tuesday"
"2781","Theft","Street","No","No","2","21","Tuesday"
"2782","Damage","Street","No","No","15","14","Sunday"
"2783","Theft","Street","No","No","18","0","Sunday"
"2784","Burglary","Residential","No","No","20","7","Friday"
"2785","Battery","Residential","No","Yes","19","10","Monday"
"2786","Sexual","Residential","No","No","8","18","Saturday"
"2787","Burglary","Residential","No","No","22","5","Sunday"
"2788","Fraud","Street","Yes","No","6","21","Friday"
"2789","Damage","Street","No","No","1","15","Sunday"
"2790","Theft","Business/Retail/Resturant","No","No","19","11","Saturday"
"2791","Battery","Business/Retail/Resturant","No","No","7","13","Saturday"
"2792","Trespass","Business/Retail/Resturant","Yes","No","11","16","Thursday"
"2793","Theft","Street","No","No","3","1","Friday"
"2794","Assault","Residential","No","Yes","25","16","Saturday"
"2795","Fraud","Street","Yes","No","18","7","Tuesday"
"2796","Battery","Street","No","Yes","11","19","Saturday"
"2797","Weapons","Residential","No","No","20","21","Monday"
"2798","Weapons","Street","Yes","No","22","21","Friday"
"2799","Assault","Business/Retail/Resturant","No","No","19","1","Sunday"
"2800","Other","Residential","No","No","16","8","Sunday"
"2801","Other","Other","No","Yes","25","7","Monday"
"2802","Theft","Other","No","No","25","13","Monday"
"2803","Assault","Residential","Yes","Yes","6","21","Sunday"
"2804","Drugs/Alcohol","Street","Yes","No","10","19","Saturday"
"2805","Other","Street","Yes","No","4","17","Tuesday"
"2806","Drugs/Alcohol","Street","Yes","No","7","21","Thursday"
"2807","Fraud","Residential","No","No","20","9","Friday"
"2808","Damage","School/College","No","No","24","10","Thursday"
"2809","Burglary","Other","No","No","8","17","Thursday"
"2810","Battery","Street","Yes","Yes","18","22","Friday"
"2811","Battery","Residential","No","No","4","19","Thursday"
"2812","Auto Theft","Government Building/Land","No","No","20","6","Monday"
"2813","Battery","Street","No","Yes","11","23","Sunday"
"2814","Battery","Street","No","No","10","15","Wednesday"
"2815","Theft","Residential","No","No","24","15","Monday"
"2816","Assault","Business/Retail/Resturant","No","No","19","14","Tuesday"
"2817","Theft","Business/Retail/Resturant","Yes","No","22","15","Wednesday"
"2818","Trespass","Business/Retail/Resturant","Yes","No","5","23","Saturday"
"2819","Battery","Business/Retail/Resturant","No","No","8","1","Saturday"
"2820","Battery","Other","No","No","6","18","Wednesday"
"2821","Other","Street","Yes","No","4","23","Tuesday"
"2822","Battery","Street","Yes","No","6","16","Tuesday"
"2823","Damage","Street","No","Yes","4","14","Tuesday"
"2824","Damage","Street","No","No","14","23","Sunday"
"2825","Damage","Street","No","No","8","23","Sunday"
"2826","Fraud","Residential","No","No","25","8","Monday"
"2827","Fraud","Public Transportation","Yes","No","18","9","Wednesday"
"2828","Battery","Business/Retail/Resturant","No","No","19","11","Saturday"
"2829","Auto Theft","Street","No","No","25","18","Wednesday"
"2830","Theft","Street","No","No","16","1","Tuesday"
"2831","Damage","Street","No","No","7","14","Monday"
"2832","Theft","Street","No","No","17","0","Saturday"
"2833","Battery","Residential","Yes","Yes","15","18","Monday"
"2834","Other","Residential","No","No","16","20","Saturday"
"2835","Damage","Residential","No","No","9","6","Tuesday"
"2836","Drugs/Alcohol","Street","Yes","No","11","19","Monday"
"2837","Damage","Street","No","No","24","16","Friday"
"2838","Weapons","Street","Yes","No","6","0","Friday"
"2839","Assault","Business/Retail/Resturant","No","No","3","11","Thursday"
"2840","Battery","Business/Retail/Resturant","No","No","18","0","Saturday"
"2841","Disturbing the Peace","Street","Yes","No","15","20","Friday"
"2842","Battery","Residential","No","No","10","21","Thursday"
"2843","Theft","Street","No","No","16","8","Friday"
"2844","Assault","Vehicle/Boat","No","No","3","12","Saturday"
"2845","Assault","Residential","Yes","No","19","15","Sunday"
"2846","Damage","Street","No","No","3","1","Thursday"
"2847","Burglary","Residential","No","No","17","16","Friday"
"2848","Theft","Public Transportation","No","No","16","6","Wednesday"
"2849","Burglary","Residential","No","No","12","16","Saturday"
"2850","Fraud","Residential","No","No","22","0","Wednesday"
"2851","Theft","Residential","No","No","25","21","Friday"
"2852","Battery","Street","No","No","15","12","Friday"
"2853","Damage","Business/Retail/Resturant","No","No","3","19","Monday"
"2854","Auto Theft","Street","No","No","18","10","Friday"
"2855","Robbery","Residential","No","Yes","3","8","Monday"
"2856","Robbery","Street","No","No","8","17","Monday"
"2857","Theft","Residential","No","No","14","15","Wednesday"
"2858","Drugs/Alcohol","Street","Yes","No","11","15","Friday"
"2859","Burglary","Residential","No","No","11","1","Wednesday"
"2860","Burglary","Residential","No","No","11","17","Monday"
"2861","Fraud","Residential","No","No","18","12","Thursday"
"2862","Sexual","Residential","No","No","22","12","Monday"
"2863","Battery","Residential","No","Yes","3","0","Monday"
"2864","Other","Street","Yes","No","15","14","Wednesday"
"2865","Burglary","Residential","No","No","14","4","Sunday"
"2866","Damage","Residential","No","No","8","17","Thursday"
"2867","Theft","Residential","No","Yes","2","19","Wednesday"
"2868","Battery","Business/Retail/Resturant","No","Yes","22","10","Thursday"
"2869","Battery","Street","No","No","3","18","Saturday"
"2870","Burglary","Residential","No","No","8","0","Tuesday"
"2871","Battery","Street","No","Yes","17","5","Friday"
"2872","Fraud","Business/Retail/Resturant","No","No","18","23","Monday"
"2873","Disturbing the Peace","Street","Yes","No","9","17","Thursday"
"2874","Assault","Street","Yes","No","3","12","Wednesday"
"2875","Robbery","Street","No","No","4","1","Friday"
"2876","Theft","Business/Retail/Resturant","No","No","22","15","Saturday"
"2877","Auto Theft","Street","No","No","16","20","Tuesday"
"2878","Battery","Residential","No","Yes","1","19","Wednesday"
"2879","Theft","Other","No","No","14","13","Wednesday"
"2880","Fraud","Residential","No","No","16","0","Saturday"
"2881","Trespass","Residential","Yes","No","18","11","Thursday"
"2882","Theft","Residential","No","No","9","19","Friday"
"2883","Auto Theft","Other","No","No","11","9","Wednesday"
"2884","Battery","Street","No","No","3","21","Thursday"
"2885","Theft","Street","No","No","8","5","Saturday"
"2886","Other","Street","No","No","15","3","Monday"
"2887","Battery","Street","Yes","Yes","25","23","Saturday"
"2888","Battery","Street","No","No","8","22","Saturday"
"2889","Other","Vehicle/Boat","Yes","No","10","1","Friday"
"2890","Theft","Residential","No","No","17","20","Thursday"
"2891","Assault","Medical/Hospital","No","No","10","7","Saturday"
"2892","Damage","Business/Retail/Resturant","No","No","19","20","Saturday"
"2893","Theft","Business/Retail/Resturant","No","No","18","18","Sunday"
"2894","Weapons","Street","Yes","No","11","23","Thursday"
"2895","Theft","Street","No","No","12","19","Friday"
"2896","Fraud","Business/Retail/Resturant","No","No","2","19","Friday"
"2897","Theft","Street","Yes","No","3","20","Tuesday"
"2898","Battery","Street","No","Yes","9","20","Tuesday"
"2899","Damage","Residential","No","No","4","15","Sunday"
"2900","Robbery","Street","No","No","15","20","Friday"
"2901","Battery","School/College","No","No","15","12","Monday"
"2902","Drugs/Alcohol","Street","Yes","No","25","5","Wednesday"
"2903","Battery","Business/Retail/Resturant","Yes","No","20","9","Tuesday"
"2904","Theft","Street","No","No","20","16","Monday"
"2905","Theft","Business/Retail/Resturant","No","No","16","14","Thursday"
"2906","Weapons","Street","No","No","4","20","Tuesday"
"2907","Theft","Vehicle/Boat","No","No","19","1","Sunday"
"2908","Battery","School/College","No","No","11","10","Wednesday"
"2909","Drugs/Alcohol","Street","Yes","No","5","18","Wednesday"
"2910","Theft","Residential","No","No","7","14","Saturday"
"2911","Other","Residential","No","No","10","10","Friday"
"2912","Drugs/Alcohol","Street","Yes","No","15","10","Monday"
"2913","Battery","Residential","Yes","No","24","23","Wednesday"
"2914","Other","Street","Yes","No","6","4","Friday"
"2915","Assault","Residential","Yes","Yes","8","16","Monday"
"2916","Battery","School/College","Yes","No","16","14","Friday"
"2917","Robbery","Residential","No","No","6","11","Thursday"
"2918","Theft","Residential","No","No","10","11","Tuesday"
"2919","Damage","Residential","No","Yes","22","12","Sunday"
"2920","Damage","Residential","No","No","24","17","Monday"
"2921","Assault","Residential","No","No","19","11","Thursday"
"2922","Assault","Residential","Yes","No","11","7","Sunday"
"2923","Drugs/Alcohol","Street","Yes","No","11","19","Tuesday"
"2924","Theft","Street","No","No","11","10","Monday"
"2925","Other","Residential","No","Yes","15","12","Sunday"
"2926","Auto Theft","Street","No","No","19","20","Thursday"
"2927","Other","Medical/Hospital","No","No","4","1","Friday"
"2928","Fraud","Business/Retail/Resturant","No","No","17","13","Wednesday"
"2929","Battery","Street","Yes","No","14","22","Sunday"
"2930","Auto Theft","Other","No","No","10","15","Wednesday"
"2931","Battery","Residential","No","Yes","18","11","Saturday"
"2932","Battery","Airport","No","No","16","19","Monday"
"2933","Battery","Residential","Yes","No","4","11","Monday"
"2934","Auto Theft","Street","No","No","4","21","Monday"
"2935","Battery","Residential","Yes","No","12","1","Wednesday"
"2936","Weapons","Street","Yes","No","6","10","Wednesday"
"2937","Damage","Residential","No","No","14","11","Wednesday"
"2938","Other","Residential","No","Yes","25","15","Friday"
"2939","Fraud","Street","No","No","7","18","Friday"
"2940","Burglary","Residential","No","No","18","14","Monday"
"2941","Battery","Business/Retail/Resturant","No","No","14","0","Sunday"
"2942","Other","School/College","No","Yes","8","14","Thursday"
"2943","Battery","Residential","No","Yes","15","22","Tuesday"
"2944","Theft","Business/Retail/Resturant","No","No","1","19","Saturday"
"2945","Trespass","Business/Retail/Resturant","Yes","No","9","0","Monday"
"2946","Battery","Street","Yes","Yes","19","19","Wednesday"
"2947","Battery","Street","No","No","5","22","Thursday"
"2948","Theft","Residential","No","No","25","14","Tuesday"
"2949","Auto Theft","Street","No","No","12","20","Thursday"
"2950","Damage","Public Transportation","No","No","16","15","Sunday"
"2951","Theft","Residential","No","No","18","13","Friday"
"2952","Trespass","Residential","No","No","16","11","Sunday"
"2953","Burglary","Other","No","No","4","10","Wednesday"
"2954","Other","Residential","Yes","No","4","20","Tuesday"
"2955","Theft","Street","No","No","8","22","Wednesday"
"2956","Damage","Residential","No","Yes","7","2","Saturday"
"2957","Battery","Residential","No","Yes","8","6","Saturday"
"2958","Burglary","Residential","No","No","18","5","Saturday"
"2959","Damage","Street","No","No","1","14","Monday"
"2960","Drugs/Alcohol","Street","Yes","No","15","13","Saturday"
"2961","Auto Theft","Street","No","No","19","14","Thursday"
"2962","Trespass","Residential","No","No","19","12","Tuesday"
"2963","Auto Theft","Street","No","No","14","18","Tuesday"
"2964","Theft","School/College","No","No","1","19","Tuesday"
"2965","Robbery","Street","No","No","11","13","Wednesday"
"2966","Other","Residential","Yes","Yes","25","16","Thursday"
"2967","Trespass","Business/Retail/Resturant","Yes","No","5","22","Sunday"
"2968","Fraud","Business/Retail/Resturant","No","No","17","19","Friday"
"2969","Robbery","Business/Retail/Resturant","No","No","9","17","Friday"
"2970","Other","Residential","No","No","16","10","Friday"
"2971","Weapons","Airport","Yes","No","16","13","Sunday"
"2972","Theft","Business/Retail/Resturant","No","No","3","8","Sunday"
"2973","Other","Street","No","Yes","1","14","Saturday"
"2974","Drugs/Alcohol","Street","Yes","No","2","12","Sunday"
"2975","Theft","Residential","No","No","25","9","Tuesday"
"2976","Theft","Business/Retail/Resturant","No","No","6","12","Sunday"
"2977","Theft","Other","No","No","19","3","Saturday"
"2978","Drugs/Alcohol","Residential","Yes","No","12","15","Friday"
"2979","Fraud","Street","No","No","11","8","Monday"
"2980","Theft","Business/Retail/Resturant","Yes","No","24","20","Tuesday"
"2981","Theft","Business/Retail/Resturant","No","No","1","16","Saturday"
"2982","Theft","Residential","No","No","22","19","Thursday"
"2983","Assault","School/College","No","No","4","9","Wednesday"
"2984","Fraud","Residential","No","No","2","18","Wednesday"
"2985","Fraud","Business/Retail/Resturant","No","No","3","23","Sunday"
"2986","Burglary","Residential","No","No","19","2","Saturday"
"2987","Theft","Business/Retail/Resturant","Yes","No","18","13","Monday"
"2988","Damage","Residential","No","No","8","23","Tuesday"
"2989","Battery","Residential","No","Yes","4","9","Sunday"
"2990","Theft","Residential","No","No","12","10","Wednesday"
"2991","Damage","Residential","Yes","Yes","9","6","Friday"
"2992","Theft","Business/Retail/Resturant","No","No","1","13","Monday"
"2993","Theft","Other","No","No","20","7","Monday"
"2994","Assault","Business/Retail/Resturant","No","No","11","7","Tuesday"
"2995","Assault","Street","No","Yes","4","9","Wednesday"
"2996","Trespass","Residential","No","Yes","17","0","Friday"
"2997","Fraud","Business/Retail/Resturant","No","No","4","0","Tuesday"
"2998","Fraud","Business/Retail/Resturant","No","No","12","14","Monday"
"2999","Theft","Residential","No","No","9","16","Monday"
"3000","Fraud","Street","No","No","14","16","Thursday"
"3001","Robbery","Residential","No","No","11","18","Monday"
"3002","Battery","Residential","No","Yes","8","0","Monday"
"3003","Fraud","Residential","No","No","4","12","Saturday"
"3004","Damage","Street","No","No","6","18","Monday"
"3005","Theft","Public Transportation","No","No","18","8","Tuesday"
"3006","Auto Theft","Street","Yes","No","22","22","Sunday"
"3007","Trespass","Street","No","No","4","21","Wednesday"
"3008","Drugs/Alcohol","Business/Retail/Resturant","Yes","No","24","17","Tuesday"
"3009","Fraud","Residential","No","No","10","9","Wednesday"
"3010","Battery","Street","No","Yes","11","17","Tuesday"
"3011","Other","Street","No","No","5","13","Tuesday"
"3012","Battery","Residential","No","Yes","11","2","Sunday"
"3013","Other","Street","No","No","6","10","Friday"
"3014","Theft","Business/Retail/Resturant","Yes","No","2","14","Thursday"
"3015","Auto Theft","Street","No","No","5","19","Sunday"
"3016","Theft","Residential","No","No","24","17","Friday"
"3017","Assault","Street","No","No","3","11","Tuesday"
"3018","Assault","Street","Yes","No","5","17","Friday"
"3019","Weapons","Street","Yes","No","3","21","Wednesday"
"3020","Damage","Street","No","No","16","15","Friday"
"3021","Assault","Street","No","No","6","18","Tuesday"
"3022","Theft","Street","No","No","11","9","Wednesday"
"3023","Assault","Street","No","No","25","15","Tuesday"
"3024","Theft","School/College","No","No","9","7","Wednesday"
"3025","Fraud","Airport","No","No","16","20","Sunday"
"3026","Other","Residential","No","No","5","7","Wednesday"
"3027","Battery","Street","No","No","17","10","Wednesday"
"3028","Fraud","Other","No","No","12","0","Sunday"
"3029","Burglary","Residential","No","No","7","19","Thursday"
"3030","Battery","Residential","No","Yes","7","4","Thursday"
"3031","Battery","Street","No","No","24","20","Tuesday"
"3032","Assault","Street","No","No","4","20","Monday"
"3033","Drugs/Alcohol","Street","Yes","No","6","15","Sunday"
"3034","Battery","Street","No","No","15","2","Saturday"
"3035","Theft","Residential","No","No","12","22","Sunday"
"3036","Other","Residential","No","No","16","18","Wednesday"
"3037","Theft","Business/Retail/Resturant","Yes","No","6","19","Thursday"
"3038","Assault","Street","No","No","2","14","Saturday"
"3039","Other","Residential","No","No","22","9","Tuesday"
"3040","Theft","Residential","No","No","19","14","Wednesday"
"3041","Theft","Street","No","No","14","20","Wednesday"
"3042","Fraud","Vehicle/Boat","No","No","6","14","Tuesday"
"3043","Drugs/Alcohol","Street","Yes","No","5","18","Friday"
